,date,temp_overall,temp_variance
0,1980-01,25.161290322580644,2.6059211351392655
1,1980-02,22.366666666666664,5.400544791053246
2,1980-03,33.487096774193546,16.77146687906545
3,1980-04,48.588888888888896,1.6696747643701002
4,1980-05,61.634408602150536,11.37584494889154
5,1980-06,69.61444444444443,3.3824723217841637
6,1980-07,78.14623655913978,5.149319792911186
7,1980-08,76.20322580645161,3.2063090402230188
8,1980-09,67.0411111111111,13.127681136333464
9,1980-10,50.417204301075266,3.4962256737023765
10,1980-11,40.293333333333344,13.620096641444299
11,1980-12,29.174193548387095,1.406982090667185
12,1981-01,22.183870967741935,5.583340489977974
13,1981-02,29.878571428571433,2.111359970851524
14,1981-03,39.44301075268817,10.815552900570829
15,1981-04,54.69,4.431436346741002
16,1981-05,57.6,7.3414363467410055
17,1981-06,70.75555555555556,2.241361210673034
18,1981-07,73.7236559139785,0.7267391477499103
19,1981-08,71.13870967741936,1.8582070888092375
20,1981-09,63.99555555555555,10.082125580777905
21,1981-10,51.307526881720435,2.605903093057208
22,1981-11,42.18555555555556,11.727874419222083
23,1981-12,27.581720430107524,0.185491027612386
24,1982-01,14.547311827956989,13.21989962976292
25,1982-02,22.666666666666668,5.100544791053242
26,1982-03,37.20752688172043,13.051036771538563
27,1982-04,45.02444444444445,5.234119208814548
28,1982-05,64.99677419354838,14.73821054028938
29,1982-06,64.83888888888889,8.158027877339705
30,1982-07,74.61935483870968,1.6224380724810885
31,1982-08,70.89677419354838,2.1001425726802125
32,1982-09,63.96555555555556,10.052125580777918
33,1982-10,54.72043010752688,0.8070001327492378
34,1982-11,41.48222222222222,12.431207752555423
35,1982-12,36.5763440860215,8.80913262830159
36,1983-01,27.95806451612903,0.1908530584091217
37,1983-02,31.85238095238095,4.0851694946610415
38,1983-03,38.38817204301075,11.870391610248248
39,1983-04,45.148888888888884,5.109674764370112
40,1983-05,56.196774193548386,5.93821054028939
41,1983-06,69.63,3.3669167662285986
42,1983-07,77.86559139784946,4.868674631620863
43,1983-08,77.8225806451613,4.825663878932701
44,1983-09,66.52666666666666,12.613236691889014
45,1983-10,55.02688172043011,1.113451745652469
46,1983-11,43.09777777777777,10.81565219699987
47,1983-12,15.830107526881719,11.937103930838191
48,1984-01,19.92688172043011,7.8403297372897995
49,1984-02,33.84137931034483,6.074167852624917
50,1984-03,30.798924731182794,19.459638922076202
51,1984-04,47.830000000000005,2.4285636532589905
52,1984-05,57.33870967741935,7.080146024160356
53,1984-06,71.71333333333332,1.28358343289527
54,1984-07,72.58494623655913,0.41197052966946046
55,1984-08,74.31290322580645,1.3159864595778572
56,1984-09,63.29333333333333,9.379903358555687
57,1984-10,56.735483870967734,2.8220538961900914
58,1984-11,40.21222222222223,13.701207752555412
59,1984-12,34.30430107526882,6.537089617548908
60,1985-01,17.037634408602152,10.729577049117758
61,1985-02,22.41309523809524,5.354116219624668
62,1985-03,41.4741935483871,8.784370104871897
63,1985-04,54.83111111111111,4.572547457852117
64,1985-05,63.73655913978496,13.477995486525963
65,1985-06,67.21444444444444,5.782472321784155
66,1985-07,74.53548387096775,1.5385671047391583
67,1985-08,70.16236559139786,2.834551174830736
68,1985-09,65.81333333333333,11.89990335855569
69,1985-10,55.15376344086022,1.2403334660825749
70,1985-11,40.73777777777778,13.175652196999863
71,1985-12,19.496774193548386,8.270437264171523
72,1986-01,26.403225806451616,1.363985651268294
73,1986-02,26.591666666666665,1.1755447910532446
74,1986-03,41.30860215053763,8.949961502721365
75,1986-04,53.20777777777778,2.9492141245187824
76,1986-05,62.155913978494624,11.897350325235628
77,1986-06,70.75777777777778,2.2391389884508186
78,1986-07,76.56666666666668,3.569749900438083
79,1986-08,69.52043010752688,3.4764866587017167
80,1986-09,67.82666666666667,13.913236691889026
81,1986-10,54.19784946236558,0.28441948758793956
82,1986-11,36.827777777777776,17.085652196999867
83,1986-12,30.4989247311828,2.7317132734628906
84,1987-01,25.06774193548387,2.69946952223604
85,1987-02,33.24523809523809,5.478026637518184
86,1987-03,41.0258064516129,9.232757201646095
87,1987-04,51.70444444444445,1.445880791185452
88,1987-05,66.58387096774193,16.325307314482934
89,1987-06,73.37888888888888,0.3819721226602866
90,1987-07,76.46236559139786,3.4654488251692612
91,1987-08,73.4043010752688,0.4073843090402107
92,1987-09,65.40555555555557,11.492125580777923
93,1987-10,48.81290322580645,5.100526748971191
94,1987-11,44.26222222222223,9.651207752555415
95,1987-12,32.55806451612903,4.79085305840912
96,1988-01,21.99032258064516,5.77688887707475
97,1988-02,22.166666666666668,5.600544791053242
98,1988-03,38.20645161290323,12.052112040355766
99,1988-04,49.63222222222222,0.6263414310367779
100,1988-05,63.80967741935484,13.551113766095845
101,1988-06,74.19333333333333,1.196416567104734
102,1988-07,77.01720430107527,4.020287534846673
103,1988-08,76.62043010752689,3.623513341298292
104,1988-09,67.03333333333333,13.119903358555689
105,1988-10,47.976344086021506,5.937085888756137
106,1988-11,42.086666666666666,11.826763308110976
107,1988-12,29.599999999999994,1.8327885422800847
108,1989-01,33.04516129032258,5.277949832602673
109,1989-02,21.44047619047619,6.32673526724372
110,1989-03,35.895698924731185,14.36286472852781
111,1989-04,49.26222222222223,0.9963414310367682
112,1989-05,59.29569892473118,9.03713527147218
113,1989-06,68.40333333333334,4.593583432895258
114,1989-07,74.33548387096774,1.3385671047391412
115,1989-08,71.97634408602151,1.0205726802070814
116,1989-09,62.64555555555555,8.732125580777911
117,1989-10,54.48172043010752,0.5682904553298798
118,1989-11,39.58222222222222,14.331207752555422
119,1989-12,17.365591397849464,10.401620059870446
