,Entity,Code,Day,Human cases with highly pathogenic avian influenza A/H5N1 (monthly),yyyy_mm
131,Africa,,2007-01-12,5,2007-01
132,Africa,,2008-01-01,0,2008-01
133,Africa,,2008-01-02,3,2008-01
134,Africa,,2008-01-03,2,2008-01
135,Africa,,2008-01-04,2,2008-01
136,Africa,,2008-01-05,0,2008-01
137,Africa,,2008-01-06,0,2008-01
138,Africa,,2008-01-07,0,2008-01
139,Africa,,2008-01-08,0,2008-01
140,Africa,,2008-01-09,0,2008-01
141,Africa,,2008-01-10,0,2008-01
142,Africa,,2008-01-11,0,2008-01
143,Africa,,2008-01-12,1,2008-01
144,Africa,,2009-01-01,2,2009-01
145,Africa,,2009-01-02,3,2009-01
146,Africa,,2009-01-03,7,2009-01
147,Africa,,2009-01-04,5,2009-01
148,Africa,,2009-01-05,10,2009-01
149,Africa,,2009-01-06,3,2009-01
150,Africa,,2009-01-07,2,2009-01
151,Africa,,2009-01-08,2,2009-01
152,Africa,,2009-01-09,2,2009-01
153,Africa,,2009-01-10,0,2009-01
154,Africa,,2009-01-11,2,2009-01
155,Africa,,2009-01-12,1,2009-01
156,Africa,,2010-01-01,7,2010-01
157,Africa,,2010-01-02,8,2010-01
158,Africa,,2010-01-03,4,2010-01
159,Africa,,2010-01-04,0,2010-01
160,Africa,,2010-01-05,0,2010-01
161,Africa,,2010-01-06,0,2010-01
162,Africa,,2010-01-07,1,2010-01
163,Africa,,2010-01-08,2,2010-01
164,Africa,,2010-01-09,0,2010-01
165,Africa,,2010-01-10,0,2010-01
166,Africa,,2010-01-11,1,2010-01
167,Africa,,2010-01-12,6,2010-01
168,Africa,,2011-01-01,5,2011-01
169,Africa,,2011-01-02,6,2011-01
170,Africa,,2011-01-03,11,2011-01
171,Africa,,2011-01-04,3,2011-01
172,Africa,,2011-01-05,5,2011-01
173,Africa,,2011-01-06,1,2011-01
174,Africa,,2011-01-07,1,2011-01
175,Africa,,2011-01-08,0,2011-01
176,Africa,,2011-01-09,1,2011-01
177,Africa,,2011-01-10,1,2011-01
178,Africa,,2011-01-11,3,2011-01
179,Africa,,2011-01-12,2,2011-01
180,Africa,,2012-01-01,1,2012-01
181,Africa,,2012-01-02,4,2012-01
182,Africa,,2012-01-03,3,2012-01
183,Africa,,2012-01-04,2,2012-01
184,Africa,,2012-01-05,0,2012-01
185,Africa,,2012-01-06,0,2012-01
186,Africa,,2012-01-07,0,2012-01
187,Africa,,2012-01-08,0,2012-01
188,Africa,,2012-01-09,0,2012-01
189,Africa,,2012-01-10,0,2012-01
190,Africa,,2012-01-11,0,2012-01
191,Africa,,2012-01-12,1,2012-01
192,Africa,,2013-01-01,1,2013-01
193,Africa,,2013-01-02,0,2013-01
194,Africa,,2013-01-03,2,2013-01
195,Africa,,2013-01-04,1,2013-01
196,Africa,,2013-01-05,0,2013-01
197,Africa,,2013-01-06,0,2013-01
198,Africa,,2013-01-07,0,2013-01
199,Africa,,2013-01-08,0,2013-01
200,Africa,,2013-01-09,0,2013-01
201,Africa,,2013-01-10,0,2013-01
202,Africa,,2013-01-11,0,2013-01
203,Africa,,2013-01-12,0,2013-01
204,Africa,,2014-01-01,0,2014-01
205,Africa,,2014-01-02,0,2014-01
206,Africa,,2014-01-03,2,2014-01
207,Africa,,2014-01-04,0,2014-01
208,Africa,,2014-01-05,0,2014-01
209,Africa,,2014-01-06,1,2014-01
210,Africa,,2014-01-07,0,2014-01
211,Africa,,2014-01-08,0,2014-01
212,Africa,,2014-01-09,1,2014-01
213,Africa,,2014-01-10,0,2014-01
214,Africa,,2014-01-11,10,2014-01
215,Africa,,2014-01-12,23,2014-01
216,Africa,,2015-01-01,46,2015-01
217,Africa,,2015-01-02,50,2015-01
218,Africa,,2015-01-03,32,2015-01
219,Africa,,2015-01-04,4,2015-01
220,Africa,,2015-01-05,0,2015-01
221,Africa,,2015-01-06,4,2015-01
222,Africa,,2015-01-07,0,2015-01
223,Africa,,2015-01-08,0,2015-01
224,Africa,,2015-01-09,0,2015-01
225,Africa,,2015-01-10,0,2015-01
226,Africa,,2015-01-11,0,2015-01
227,Africa,,2015-01-12,0,2015-01
228,Africa,,2016-01-01,0,2016-01
229,Africa,,2016-01-02,2,2016-01
230,Africa,,2016-01-03,2,2016-01
231,Africa,,2016-01-04,0,2016-01
232,Africa,,2016-01-05,3,2016-01
233,Africa,,2016-01-06,2,2016-01
234,Africa,,2016-01-07,1,2016-01
235,Africa,,2016-01-08,0,2016-01
236,Africa,,2016-01-09,0,2016-01
237,Africa,,2016-01-10,0,2016-01
238,Africa,,2016-01-11,0,2016-01
239,Africa,,2016-01-12,0,2016-01
240,Africa,,2017-01-01,0,2017-01
241,Africa,,2017-01-02,2,2017-01
242,Africa,,2017-01-03,0,2017-01
243,Africa,,2017-01-04,1,2017-01
244,Africa,,2017-01-05,0,2017-01
245,Africa,,2017-01-06,0,2017-01
246,Africa,,2017-01-07,0,2017-01
247,Africa,,2017-01-08,0,2017-01
248,Africa,,2017-01-09,0,2017-01
249,Africa,,2017-01-10,0,2017-01
250,Africa,,2017-01-11,0,2017-01
251,Africa,,2017-01-12,0,2017-01
252,Africa,,2018-01-01,0,2018-01
253,Africa,,2018-01-02,0,2018-01
254,Africa,,2018-01-03,0,2018-01
255,Africa,,2018-01-04,0,2018-01
256,Africa,,2018-01-05,0,2018-01
257,Africa,,2018-01-06,0,2018-01
258,Africa,,2018-01-07,0,2018-01
259,Africa,,2018-01-08,0,2018-01
260,Africa,,2018-01-09,0,2018-01
261,Africa,,2018-01-10,0,2018-01
262,Africa,,2018-01-11,0,2018-01
263,Africa,,2018-01-12,0,2018-01
264,Africa,,2019-01-01,0,2019-01
265,Africa,,2019-01-02,0,2019-01
266,Africa,,2019-01-03,0,2019-01
267,Africa,,2019-01-04,0,2019-01
268,Africa,,2019-01-05,0,2019-01
269,Africa,,2019-01-06,0,2019-01
270,Africa,,2019-01-07,0,2019-01
271,Africa,,2019-01-08,0,2019-01
272,Africa,,2019-01-09,0,2019-01
273,Africa,,2019-01-10,0,2019-01
274,Africa,,2019-01-11,0,2019-01
275,Africa,,2019-01-12,0,2019-01
276,Africa,,2020-01-01,0,2020-01
277,Africa,,2020-01-02,0,2020-01
278,Africa,,2020-01-03,0,2020-01
279,Africa,,2020-01-04,0,2020-01
280,Africa,,2020-01-05,0,2020-01
281,Africa,,2020-01-06,0,2020-01
282,Africa,,2020-01-07,0,2020-01
283,Africa,,2020-01-08,0,2020-01
284,Africa,,2020-01-09,0,2020-01
285,Africa,,2020-01-10,0,2020-01
286,Africa,,2020-01-11,0,2020-01
287,Africa,,2020-01-12,0,2020-01
288,Africa,,2021-01-01,0,2021-01
289,Africa,,2021-01-02,0,2021-01
290,Africa,,2021-01-03,0,2021-01
291,Africa,,2021-01-04,0,2021-01
292,Africa,,2021-01-05,0,2021-01
293,Africa,,2021-01-06,0,2021-01
294,Africa,,2021-01-07,0,2021-01
295,Africa,,2021-01-08,0,2021-01
296,Africa,,2021-01-09,0,2021-01
297,Africa,,2021-01-10,0,2021-01
298,Africa,,2021-01-11,0,2021-01
299,Africa,,2021-01-12,0,2021-01
300,Africa,,2022-01-01,0,2022-01
301,Africa,,2022-01-02,0,2022-01
302,Africa,,2022-01-03,0,2022-01
303,Africa,,2022-01-04,0,2022-01
304,Africa,,2022-01-05,0,2022-01
305,Africa,,2022-01-06,0,2022-01
306,Africa,,2022-01-07,0,2022-01
307,Africa,,2022-01-08,0,2022-01
308,Africa,,2022-01-09,0,2022-01
309,Africa,,2022-01-10,0,2022-01
310,Africa,,2022-01-11,0,2022-01
311,Africa,,2022-01-12,0,2022-01
312,Africa,,2023-01-01,0,2023-01
313,Africa,,2023-01-02,0,2023-01
314,Africa,,2023-01-03,0,2023-01
315,Africa,,2023-01-04,0,2023-01
316,Africa,,2023-01-05,0,2023-01
317,Africa,,2023-01-06,0,2023-01
318,Africa,,2023-01-07,0,2023-01
319,Africa,,2023-01-08,0,2023-01
320,Africa,,2023-01-09,0,2023-01
321,Africa,,2023-01-10,0,2023-01
322,Africa,,2023-01-11,0,2023-01
323,Africa,,2023-01-12,0,2023-01
324,Africa,,2024-01-01,0,2024-01
325,Africa,,2024-01-02,0,2024-01
326,Africa,,2024-01-03,0,2024-01
327,Africa,,2024-01-04,0,2024-01
328,Africa,,2024-01-05,0,2024-01
329,Africa,,2024-01-06,0,2024-01
330,Africa,,2024-01-07,0,2024-01
331,Africa,,2024-01-08,0,2024-01
332,Africa,,2024-01-09,0,2024-01
333,Africa,,2024-01-10,0,2024-01
334,Africa,,2024-01-11,0,2024-01
335,Africa,,2024-01-12,0,2024-01
336,Africa,,2025-01-01,0,2025-01
337,Asia,,1997-01-01,0,1997-01
338,Asia,,1997-01-02,0,1997-01
339,Asia,,1997-01-03,0,1997-01
340,Asia,,1997-01-04,0,1997-01
341,Asia,,1997-01-05,1,1997-01
342,Asia,,1997-01-06,0,1997-01
343,Asia,,1997-01-07,0,1997-01
344,Asia,,1997-01-08,0,1997-01
345,Asia,,1997-01-09,0,1997-01
346,Asia,,1997-01-10,0,1997-01
347,Asia,,1997-01-11,4,1997-01
348,Asia,,1997-01-12,13,1997-01
349,Asia,,1998-01-01,0,1998-01
350,Asia,,1998-01-02,0,1998-01
351,Asia,,1998-01-03,0,1998-01
352,Asia,,1998-01-04,0,1998-01
353,Asia,,1998-01-05,0,1998-01
354,Asia,,1998-01-06,0,1998-01
355,Asia,,1998-01-07,0,1998-01
356,Asia,,1998-01-08,0,1998-01
357,Asia,,1998-01-09,0,1998-01
358,Asia,,1998-01-10,0,1998-01
359,Asia,,1998-01-11,0,1998-01
360,Asia,,1998-01-12,0,1998-01
361,Asia,,1999-01-01,0,1999-01
362,Asia,,1999-01-02,0,1999-01
363,Asia,,1999-01-03,0,1999-01
364,Asia,,1999-01-04,0,1999-01
365,Asia,,1999-01-05,0,1999-01
366,Asia,,1999-01-06,0,1999-01
367,Asia,,1999-01-07,0,1999-01
368,Asia,,1999-01-08,0,1999-01
369,Asia,,1999-01-09,0,1999-01
370,Asia,,1999-01-10,0,1999-01
371,Asia,,1999-01-11,0,1999-01
372,Asia,,1999-01-12,0,1999-01
373,Asia,,2000-01-01,0,2000-01
374,Asia,,2000-01-02,0,2000-01
375,Asia,,2000-01-03,0,2000-01
376,Asia,,2000-01-04,0,2000-01
377,Asia,,2000-01-05,0,2000-01
378,Asia,,2000-01-06,0,2000-01
379,Asia,,2000-01-07,0,2000-01
380,Asia,,2000-01-08,0,2000-01
381,Asia,,2000-01-09,0,2000-01
382,Asia,,2000-01-10,0,2000-01
383,Asia,,2000-01-11,0,2000-01
384,Asia,,2000-01-12,0,2000-01
385,Asia,,2001-01-01,0,2001-01
386,Asia,,2001-01-02,0,2001-01
387,Asia,,2001-01-03,0,2001-01
388,Asia,,2001-01-04,0,2001-01
389,Asia,,2001-01-05,0,2001-01
390,Asia,,2001-01-06,0,2001-01
391,Asia,,2001-01-07,0,2001-01
392,Asia,,2001-01-08,0,2001-01
393,Asia,,2001-01-09,0,2001-01
394,Asia,,2001-01-10,0,2001-01
395,Asia,,2001-01-11,0,2001-01
396,Asia,,2001-01-12,0,2001-01
397,Asia,,2002-01-01,0,2002-01
398,Asia,,2002-01-02,0,2002-01
399,Asia,,2002-01-03,0,2002-01
400,Asia,,2002-01-04,0,2002-01
401,Asia,,2002-01-05,0,2002-01
402,Asia,,2002-01-06,0,2002-01
