,yyyy_mm,Flock_Count
0,2022-02,6
1,2022-03,31
2,2022-04,41
3,2022-05,30
4,2022-06,4
5,2022-07,2
6,2022-08,8
7,2022-09,33
8,2022-10,47
9,2022-11,41
10,2022-12,45
11,2023-01,6
12,2023-02,11
13,2023-03,17
14,2023-04,8
15,2023-05,4
16,2023-08,1
17,2023-09,1
18,2023-10,15
19,2023-11,47
20,2023-12,44
21,2024-01,6
22,2024-02,13
23,2024-03,4
24,2024-04,5
25,2024-05,5
26,2024-06,3
27,2024-07,2
28,2024-09,2
29,2024-10,6
30,2024-11,23
31,2024-12,82
32,2025-01,32
33,2025-02,23
