,date,price_per_dozen
0,1980-01,0.8790000081062317
1,1980-02,0.7739999890327454
2,1980-03,0.8119999766349792
3,1980-04,0.796999990940094
4,1980-05,0.7369999885559082
5,1980-06,0.7310000061988831
6,1980-07,0.7760000228881836
7,1980-08,0.9070000052452087
8,1980-09,0.8980000019073486
9,1980-10,0.8669999837875366
10,1980-11,0.9169999957084656
11,1980-12,1.031000018119812
12,1981-01,0.9430000185966492
13,1981-02,0.9240000247955322
14,1981-03,0.875
15,1981-04,0.9039999842643738
16,1981-05,0.8360000252723694
17,1981-06,0.8519999980926514
18,1981-07,0.8600000143051147
19,1981-08,0.8679999709129333
20,1981-09,0.9150000214576721
21,1981-10,0.8980000019073486
22,1981-11,0.9430000185966492
23,1981-12,0.9660000205039978
24,1982-01,0.925000011920929
25,1982-02,1.0069999694824219
26,1982-03,0.9520000219345093
27,1982-04,0.8960000276565552
28,1982-05,0.8420000076293945
29,1982-06,0.7829999923706055
30,1982-07,0.8510000109672546
31,1982-08,0.777999997138977
32,1982-09,0.8519999980926514
33,1982-10,0.8539999723434448
34,1982-11,0.8489999771118164
35,1982-12,0.8130000233650208
36,1983-01,0.8209999799728394
37,1983-02,0.7940000295639038
38,1983-03,0.8360000252723694
39,1983-04,0.824999988079071
40,1983-05,0.8650000095367432
41,1983-06,0.824999988079071
42,1983-07,0.847000002861023
43,1983-08,0.8840000033378601
44,1983-09,0.9380000233650208
45,1983-10,0.9620000123977661
46,1983-11,0.9959999918937683
47,1983-12,1.13100004196167
48,1984-01,1.3009999990463257
49,1984-02,1.3240000009536743
50,1984-03,1.152999997138977
51,1984-04,1.1990000009536743
52,1984-05,1.0540000200271606
53,1984-06,0.902999997138977
54,1984-07,0.8759999871253967
55,1984-08,0.8600000143051147
56,1984-09,0.8539999723434448
57,1984-10,0.8420000076293945
58,1984-11,0.8230000138282776
59,1984-12,0.8669999837875366
60,1985-01,0.7459999918937683
61,1985-02,0.7839999794960022
62,1985-03,0.7900000214576721
63,1985-04,0.7829999923706055
64,1985-05,0.7450000047683716
65,1985-06,0.7239999771118164
66,1985-07,0.7870000004768372
67,1985-08,0.7889999747276306
68,1985-09,0.8569999933242798
69,1985-10,0.8600000143051147
70,1985-11,0.871999979019165
71,1985-12,0.906000018119812
72,1986-01,0.9010000228881836
73,1986-02,0.8659999966621399
74,1986-03,0.8870000243186951
75,1986-04,0.8899999856948853
76,1986-05,0.8199999928474426
77,1986-06,0.7950000166893005
78,1986-07,0.8330000042915344
79,1986-08,0.9129999876022339
80,1986-09,0.8679999709129333
81,1986-10,0.8550000190734863
82,1986-11,0.8970000147819519
83,1986-12,0.9100000262260437
84,1987-01,0.8619999885559082
85,1987-02,0.8230000138282776
86,1987-03,0.800000011920929
87,1987-04,0.7860000133514404
88,1987-05,0.7630000114440918
89,1987-06,0.7110000252723694
90,1987-07,0.7630000114440918
91,1987-08,0.7300000190734863
92,1987-09,0.8370000123977661
93,1987-10,0.777999997138977
94,1987-11,0.8050000071525574
95,1987-12,0.7329999804496765
96,1988-01,0.7599999904632568
97,1988-02,0.7179999947547913
98,1988-03,0.7400000095367432
99,1988-04,0.718999981880188
100,1988-05,0.6779999732971191
101,1988-06,0.7049999833106995
102,1988-07,0.8029999732971191
103,1988-08,0.9089999794960022
104,1988-09,0.8740000128746033
105,1988-10,0.8960000276565552
106,1988-11,0.8389999866485596
107,1988-12,0.8330000042915344
108,1989-01,0.9409999847412109
109,1989-02,0.8899999856948853
110,1989-03,1.031000018119812
111,1989-04,0.996999979019165
112,1989-05,0.9559999704360962
113,1989-06,0.9369999766349792
114,1989-07,0.9610000252723694
115,1989-08,0.9829999804496765
116,1989-09,1.0379999876022339
117,1989-10,1.0230000019073486
118,1989-11,1.0800000429153442
119,1989-12,1.1369999647140503
120,1990-01,1.2230000495910645
121,1990-02,1.0410000085830688
122,1990-03,1.1109999418258667
123,1990-04,1.0920000076293945
124,1990-05,0.9399999976158142
125,1990-06,0.9300000071525574
126,1990-07,0.8989999890327454
127,1990-08,0.9539999961853027
128,1990-09,0.9459999799728394
129,1990-10,1.0119999647140503
130,1990-11,1.0180000066757202
131,1990-12,1.0010000467300415
132,1991-01,1.1059999465942383
133,1991-02,0.9869999885559082
134,1991-03,1.069000005722046
135,1991-04,1.0019999742507935
136,1991-05,0.9079999923706055
137,1991-06,0.8840000033378601
138,1991-07,0.9660000205039978
139,1991-08,1.0240000486373901
140,1991-09,0.9869999885559082
141,1991-10,0.9760000109672546
142,1991-11,0.949999988079071
143,1991-12,1.0119999647140503
144,1992-01,0.9330000281333923
145,1992-02,0.8809999823570251
146,1992-03,0.8500000238418579
147,1992-04,0.8289999961853027
148,1992-05,0.8360000252723694
149,1992-06,0.8009999990463257
150,1992-07,0.8270000219345093
151,1992-08,0.8090000152587891
152,1992-09,0.8730000257492065
153,1992-10,0.8579999804496765
154,1992-11,0.8970000147819519
155,1992-12,0.9279999732971191
156,1993-01,0.8980000019073486
157,1993-02,0.8949999809265137
158,1993-03,0.9269999861717224
159,1993-04,0.996999979019165
160,1993-05,0.8949999809265137
161,1993-06,0.9210000038146973
162,1993-07,0.8999999761581421
163,1993-08,0.9290000200271606
164,1993-09,0.8899999856948853
165,1993-10,0.8970000147819519
166,1993-11,0.9169999957084656
167,1993-12,0.8709999918937683
168,1994-01,0.9169999957084656
169,1994-02,0.902999997138977
170,1994-03,0.9259999990463257
171,1994-04,0.8610000014305115
172,1994-05,0.8009999990463257
173,1994-06,0.8410000205039978
174,1994-07,0.8149999976158142
