,date,adjusted_deaths,log_cpi_adjusted_cost,log_unadjusted_cost
0,1980-04,7.0,7.919501599122385,6.562161550664921
1,1980-06,35.0,7.030886928937859,5.632405811813974
2,1980-07,35.0,7.030886928937859,5.632405811813974
3,1980-08,48.0,8.1218466958834,6.767726634378434
4,1980-09,35.0,7.030886928937859,5.632405811813974
5,1980-10,35.0,7.030886928937859,5.632405811813974
6,1980-11,35.0,7.030886928937859,5.632405811813974
7,1981-01,0.0,7.638872343784828,6.35088571671474
8,1981-05,20.0,7.251415885529474,5.997446603617747
9,1982-01,85.0,7.704721810187626,6.4967749901858625
10,1982-04,33.0,7.380879035564116,6.182498069714679
11,1982-05,7.5,5.9807826987611215,4.795583900066207
12,1982-06,7.5,5.9807826987611215,4.795583900066207
13,1982-12,14.375,7.33911150787225,6.171178524558783
14,1983-01,14.375,7.33911150787225,6.171178524558783
15,1983-02,3.125,5.713051920978023,4.550977940796151
16,1983-03,3.125,5.713051920978023,4.550977940796151
17,1983-06,0.0,6.970521397007543,5.80013591400066
18,1983-07,0.0,6.970521397007543,5.80013591400066
19,1983-08,21.0,9.260536954083499,8.110831017653508
20,1983-09,3.5,5.749392985908253,4.61512051684126
21,1983-10,3.5,5.749392985908253,4.61512051684126
22,1983-12,151.0,8.77655294686343,7.604296716941434
23,1984-03,20.0,6.139668998600734,5.022399120802262
24,1984-04,20.0,6.139668998600734,5.022399120802262
25,1984-06,1.0,7.213326402255559,6.10300594913747
26,1985-01,150.0,8.71463320331007,7.619675156845376
27,1985-05,89.0,7.4725575797261365,6.398594934535208
28,1985-08,1.0,6.8544599561733985,5.784901544700838
29,1985-09,12.0,8.143052323648448,7.074497761147209
30,1985-10,63.0,8.375952133227477,7.311685844396276
31,1985-11,62.0,8.305731144875866,7.244941546337007
32,1986-02,13.0,7.334394606386676,6.274385279460631
33,1986-06,11.111111111111112,6.359862177741695,5.305292966815378
34,1986-07,11.111111111111112,6.359862177741695,5.305292966815378
35,1986-08,11.111111111111112,6.359862177741695,5.305292966815378
36,1986-09,10.0,7.0431599159883405,5.993961427306569
37,1988-06,50.44444444444445,8.710919804036905,7.706902809524763
38,1988-07,50.44444444444445,8.710919804036905,7.706902809524763
39,1988-08,50.44444444444445,8.710919804036905,7.706902809524763
40,1989-05,21.0,7.249428288698837,6.314453433391908
41,1989-06,11.0,7.441103694419345,6.506414983424792
42,1989-07,0.0,5.387840607594192,4.435830647351195
43,1989-08,0.0,5.387840607594192,4.435830647351195
44,1989-09,86.0,10.038823618146834,9.114305416849664
45,1989-10,0.0,5.387840607594192,4.435830647351195
46,1989-11,0.0,5.387840607594192,4.435830647351195
47,1989-12,110.0,8.842373343815433,7.893945138235959
48,1990-05,13.0,7.807062566084298,6.915624261583535
49,1990-06,1.888888888888889,5.255757752129241,4.387566815049497
50,1990-07,1.888888888888889,7.6853201981799835,6.802999491584182
51,1990-08,1.888888888888889,5.255757752129241,4.387566815049497
52,1990-12,0.0,9.039907859574642,8.131824785007195
53,1991-03,0.0,7.441877430429438,6.592454558009841
54,1991-04,0.0,5.280916824264983,4.437573024592519
55,1991-05,0.0,5.280916824264983,4.437573024592519
