,date,temp_WA,temp_IN,temp_MO,temp_WI
0,1980-01,31.851612903225806,26.55806451612903,31.693548387096776,17.23225806451613
1,1980-02,39.679310344827584,21.99310344827586,28.658620689655173,16.448275862068964
2,1980-03,41.07419354838709,33.84838709677419,39.79677419354839,26.816129032258065
3,1980-04,49.163333333333334,48.016666666666666,53.443333333333335,44.306666666666665
4,1980-05,52.76129032258064,61.39354838709678,64.66774193548387,58.84193548387096
5,1980-06,56.10333333333333,67.05,76.95666666666666,64.83666666666666
6,1980-07,63.08064516129032,75.33548387096775,86.6741935483871,72.42903225806452
7,1980-08,61.777419354838706,74.88387096774194,82.70322580645161,71.02258064516128
8,1980-09,57.766666666666666,66.92333333333333,72.61666666666666,61.583333333333336
9,1980-10,51.6741935483871,49.983870967741936,56.329032258064515,44.938709677419354
10,1980-11,44.13666666666666,39.940000000000005,45.36,35.580000000000005
11,1980-12,41.774193548387096,30.26451612903226,36.05806451612903,21.200000000000003
12,1981-01,41.18387096774194,20.774193548387096,31.374193548387098,14.403225806451612
13,1981-02,40.56428571428571,30.735714285714288,35.85357142857143,23.04642857142857
14,1981-03,44.73870967741936,37.81935483870968,45.68387096774194,34.8258064516129
15,1981-04,46.64666666666667,54.480000000000004,62.61333333333334,46.97666666666667
16,1981-05,52.12580645161291,57.596774193548384,60.28709677419355,54.91612903225807
17,1981-06,55.39333333333333,70.41333333333334,74.38333333333334,67.47
18,1981-07,62.34516129032258,72.10645161290323,77.85806451612903,71.20645161290322
19,1981-08,68.06774193548387,70.47096774193548,74.16451612903225,68.78064516129032
20,1981-09,59.06666666666667,63.913333333333334,68.41000000000001,59.663333333333334
21,1981-10,48.858064516129026,51.400000000000006,55.91935483870968,46.60322580645161
22,1981-11,44.123333333333335,41.99,46.85333333333333,37.71333333333334
23,1981-12,37.63225806451613,27.183870967741935,31.59032258064516,23.970967741935485
24,1982-01,35.38709677419355,15.46774193548387,22.92258064516129,5.251612903225807
25,1982-02,38.800000000000004,20.92142857142857,30.92142857142857,16.157142857142855
26,1982-03,41.18064516129032,37.60322580645161,45.61612903225806,28.403225806451612
27,1982-04,44.586666666666666,44.629999999999995,50.513333333333335,39.93
28,1982-05,52.65483870967742,66.61612903225806,67.03548387096774,61.33870967741935
29,1982-06,63.05,65.03,68.61999999999999,60.86666666666667
30,1982-07,63.36451612903225,73.27741935483871,78.53870967741935,72.04193548387097
31,1982-08,64.41290322580645,69.87741935483872,74.7258064516129,68.08709677419354
32,1982-09,59.093333333333334,64.24666666666667,67.12666666666667,60.52333333333333
33,1982-10,50.17741935483871,55.60967741935484,57.08064516129032,51.47096774193548
34,1982-11,39.016666666666666,43.67333333333333,44.96333333333334,35.809999999999995
35,1982-12,36.667741935483875,39.21612903225807,39.84838709677419,30.664516129032258
36,1983-01,41.351612903225806,29.364516129032257,32.34193548387097,22.16774193548387
37,1983-02,42.21785714285714,33.357142857142854,37.26428571428572,24.935714285714287
38,1983-03,45.31935483870968,40.1741935483871,43.593548387096774,31.396774193548385
39,1983-04,48.016666666666666,46.86,47.91,40.67666666666666
40,1983-05,55.274193548387096,57.11290322580645,60.41935483870968,51.05806451612903
41,1983-06,57.63,69.86333333333333,72.10666666666665,66.92
42,1983-07,61.02903225806452,76.74838709677418,81.51612903225806,75.33225806451614
43,1983-08,64.60967741935484,76.86129032258064,83.43225806451613,73.1741935483871
44,1983-09,55.55,67.39333333333333,69.92333333333333,62.263333333333335
45,1983-10,49.645161290322584,55.519354838709674,58.91935483870968,50.641935483870974
46,1983-11,43.74666666666667,44.46,46.82333333333334,38.01
47,1983-12,32.15161290322581,18.94193548387097,18.55806451612903,9.990322580645161
48,1984-01,39.02903225806452,18.738709677419354,28.506451612903227,12.535483870967743
49,1984-02,40.689655172413794,34.23103448275862,39.1,28.193103448275863
50,1984-03,44.53548387096774,28.038709677419355,38.37096774193548,25.98709677419355
51,1984-04,45.376666666666665,47.99333333333333,51.45666666666667,44.04
52,1984-05,50.47741935483871,57.11612903225806,61.13870967741936,53.76129032258064
53,1984-06,56.89666666666667,72.70666666666666,74.88333333333334,67.55
54,1984-07,64.50967741935484,70.90322580645162,77.14516129032258,69.70645161290322
55,1984-08,64.44193548387096,73.0516129032258,78.69999999999999,71.18709677419355
56,1984-09,57.41,63.593333333333334,66.81,59.47666666666667
57,1984-10,47.20967741935484,58.73548387096774,58.670967741935485,52.8
58,1984-11,41.21666666666667,41.21666666666667,43.836666666666666,35.583333333333336
59,1984-12,34.064516129032256,37.02258064516129,40.10967741935484,25.78064516129032
60,1985-01,34.66129032258065,18.6,22.4741935483871,10.038709677419355
61,1985-02,35.792857142857144,22.285714285714285,28.864285714285717,16.089285714285715
62,1985-03,40.38387096774194,42.10322580645161,48.13225806451613,34.18709677419355
63,1985-04,47.45666666666667,55.75666666666667,58.84,49.89666666666667
64,1985-05,53.46774193548387,63.690322580645166,66.38387096774194,61.13548387096775
65,1985-06,58.82666666666667,66.7,70.08,64.86333333333333
66,1985-07,69.35483870967742,73.08064516129032,78.45161290322581,72.0741935483871
67,1985-08,64.43225806451613,68.92258064516129,73.55806451612904,68.00645161290322
68,1985-09,56.07666666666667,66.54,68.64,62.26
69,1985-10,49.31612903225806,56.096774193548384,59.15161290322581,50.21290322580645
70,1985-11,32.23,45.35666666666667,44.00666666666667,32.85
71,1985-12,34.07741935483871,22.41290322580645,26.177419354838708,9.899999999999999
72,1986-01,40.55483870967742,27.641935483870967,35.248387096774195,16.31935483870968
73,1986-02,39.4,27.592857142857145,34.653571428571425,17.52857142857143
