,date,outbreaks_per_million,illnesses_per_million
0,1980-07,0.07481735722502517,14.866648982713825
1,1981-07,0.02178934053863984,1.8128731328148346
2,1982-07,0.03885003823589274,3.241819857239494
3,1983-07,0.034218744299328904,10.115916283489108
4,1984-07,0.016962089202637386,1.0134848298575838
5,1985-07,0.01260928052743898,0.21435776896646266
6,1986-07,0.01665764343757069,0.6621413266434351
7,1987-07,0.04127285598704228,7.2557680825220325
8,1988-07,0.032719836400818,3.366053169734151
9,1989-07,0.03241228329392005,1.1060691674050218
10,1990-04,0.004019454266594647,0.040194542665946464
11,1990-05,0.012045773793371675,4.541256720101122
12,1990-06,0.016042352044392586,0.6657576098422923
13,1990-07,0.03204871467225329,1.946959416339387
14,1990-08,0.012003841317140244,1.1323623642502296
15,1990-10,0.007983075918033631,0.13172075264755492
16,1990-11,0.003987717761146196,0.011963153283438591
17,1990-12,0.00398406374501992,0.250996015936255
18,1991-01,0.007961466289350634,0.043788064591428484
19,1991-02,0.007953867664638209,0.12328494880189225
20,1991-03,0.015893198173892484,0.3456770602821615
21,1991-05,0.007927385362968855,1.5537675311418957
22,1991-06,0.04353332404166372,10.511318968605348
23,1991-07,0.03557593545733574,0.7194244725816783
24,1991-08,0.03552958859398429,42.5170743508012
25,1991-09,0.007884880930910679,0.05913660698183009
26,1991-10,0.007874945821896401,0.13781155188318703
27,1991-12,0.003928809982304288,0.019644049911521445
28,1992-01,0.01569981952729735,0.918439442346895
29,1992-02,0.019605536697378897,11.87311302393266
30,1992-03,0.015668455894065306,0.6698264894712919
31,1992-04,0.007825032390375696,0.5986149778637407
32,1992-05,0.023447575185866053,2.512798474085312
33,1992-06,0.031225603508306332,3.481654791176156
34,1992-07,0.023390900049016575,0.9005496518871381
35,1992-08,0.01167951479828172,0.8019933494820114
36,1992-09,0.01166452805910863,0.18274427292603518
37,1992-10,0.003883495145631068,0.07766990291262135
38,1992-12,0.0038750678503472647,0.02325040710208359
39,1993-01,0.0077420357835249485,0.13161460831992414
40,1993-03,0.015455353493809349,1557.5673420758653
41,1993-04,0.01157988155782767,0.28177711790713994
42,1993-05,0.0038559420610815207,0.2043649292373206
43,1993-06,0.007703566896291013,1.1016100661696149
44,1993-07,0.011542012330782257,0.7040627521777176
45,1993-08,0.030742034593467013,0.8108211624026924
46,1993-09,0.011514546333035622,0.3454363899910687
47,1993-10,0.003833767880845259,0.03450391092760733
48,1993-11,0.0076599002422354625,2.6120259826022925
49,1993-12,0.011478859498521529,0.41706522844628224
50,1994-01,0.003822629880231341,0.03440366892208207
51,1994-02,0.007639127682862437,0.15278255365724874
52,1994-03,0.011448633423035879,2.003510849031279
53,1994-04,0.0038121377404661074,0.07624275480932215
54,1994-05,0.011425524303298018,0.3389572209978412
55,1994-06,0.030436768039350075,3.4888145365105023
56,1994-07,0.01520161108871426,2.3752517326116034
57,1994-08,0.011388656317197434,1.1654391631265375
58,1994-09,0.003791900482978975,0.758380096595795
59,1994-10,0.003787878787878788,0.03787878787878788
60,1994-11,0.007568303663402651,0.2686747800507941
61,1995-01,0.007554296506137866,0.11331444759206799
62,1995-02,0.0037738695695487606,0.007547739139097521
63,1995-03,0.007541194013947113,0.03016477605578845
64,1995-04,0.0037669039642962616,0.011300711892888785
65,1995-05,0.01129007973136446,0.14677103650773798
66,1995-06,0.018797699851766186,0.39099215691673667
67,1995-07,0.030043563304319783,21.368484400197445
68,1995-08,0.03001087811904477,2.6447086342408204
69,1995-09,0.018735011647633585,0.7494004659053434
70,1995-10,0.01497118088798639,0.16468298976785029
71,1995-11,0.0037391564121717026,0.048609033358232134
72,1995-12,0.011207829975358598,5.461949141324757
73,1996-01,0.003733014714694599,0.10825742672614336
74,1996-03,0.00372689316004554,0.022361358960273237
75,1996-04,0.007446571226415148,0.040956141745283316
76,1996-06,0.02601166950700574,1.159377269455113
77,1996-07,0.018560450380928774,1.046809401484383
78,1996-08,0.022246940038675965,11.549869703412606
79,1996-09,0.011110288578850736,0.12591660389364168
80,1996-10,0.003699456213354577,2.1974769907326186
81,1996-11,0.0036953551388757945,0.06282103736088851
82,1997-01,0.007377623767079808,0.05533217825309856
83,1997-02,0.0036856847007417036,0.15479875743115154
84,1997-03,0.01104728246785574,0.11415525216784266
85,1997-05,0.0036753897726850837,0.05880623636296134
86,1997-06,0.014686445201694355,2.008371381331703
87,1997-07,0.022006235592574374,0.5684944194748379
88,1997-09,0.007318233149644222,0.20125141161521612
89,1997-11,0.007302735004410435,0.05477051253307826
90,1997-12,0.0036481706374813017,5.2898474243478875
91,1998-01,0.3353136335505835,5.252032021156422
92,1998-02,0.3277733425641102,4.242843823190982
93,1998-03,0.4330737336365618,5.502583909735138
94,1998-04,0.4035776488927448,8.951424969134573
95,1998-05,0.501271362582765,9.397021847837774
96,1998-06,0.48989366190772454,13.905722314299263
97,1998-07,0.4930215587849745,16.28421207398607
98,1998-08,0.4453939686012405,15.06373097057854
99,1998-09,0.3183215630827952,11.88641654875074
100,1998-10,0.33965672990063234,6.6016260162601625
101,1998-11,0.3826438676046895,7.407407701177574
102,1998-12,0.44000434534580773,6.520720134305085
103,1999-01,0.284653912540907,3.3257665984209765
104,1999-02,0.327644571180435,4.5474186088009825
105,1999-03,0.3274087903887966,5.497589359495398
106,1999-04,0.4025880484744612,8.15240798160784
107,1999-05,0.5638152869990576,11.060834929663041
108,1999-06,0.48071748878923765,10.70493273542601
109,1999-07,0.43721328936369913,7.9522646647381015
110,1999-08,0.45462680230956937,11.845355030254844
111,1999-09,0.3468621566854232,7.748972098322804
