,date,us_human_outbreaks_cnt,us_human_illnesses_cnt
284,1997-09,2,55
285,1997-11,2,15
286,1997-12,1,1450
287,1998-01,92,1441
288,1998-02,90,1165
289,1998-03,119,1512
290,1998-04,111,2462
291,1998-05,138,2587
292,1998-06,135,3832
293,1998-07,136,4492
294,1998-08,123,4160
295,1998-09,88,3286
296,1998-10,94,1827
297,1998-11,106,2052
298,1998-12,122,1808
299,1999-01,79,923
300,1999-02,91,1263
301,1999-03,91,1528
302,1999-04,112,2268
303,1999-05,157,3080
304,1999-06,134,2984
305,1999-07,122,2219
306,1999-08,127,3309
307,1999-09,97,2167
308,1999-10,111,2843
309,1999-11,118,1771
310,1999-12,137,2316
311,2000-01,86,822
312,2000-02,129,2794
313,2000-03,154,2682
314,2000-04,136,1879
315,2000-05,137,2533
316,2000-06,128,2960
317,2000-07,122,3265
318,2000-08,121,2054
319,2000-09,91,1777
320,2000-10,101,2076
321,2000-11,121,2695
322,2000-12,139,2695
323,2001-01,105,3193
324,2001-02,86,1520
325,2001-03,102,2497
326,2001-04,131,1944
327,2001-05,149,4080
328,2001-06,137,2423
329,2001-07,129,2492
330,2001-08,93,1462
331,2001-09,86,1263
332,2001-10,72,1550
333,2001-11,89,2341
334,2001-12,116,2299
335,2002-01,104,1376
336,2002-02,85,1407
337,2002-03,105,2406
338,2002-04,135,3018
339,2002-05,113,1636
340,2002-06,134,2589
341,2002-07,125,2926
342,2002-08,121,1773
343,2002-09,91,2349
344,2002-10,113,1986
345,2002-11,126,3137
346,2002-12,120,2617
347,2003-01,86,2502
348,2003-02,89,1686
349,2003-03,105,1832
350,2003-04,73,1716
351,2003-05,104,2647
352,2003-06,122,2830
353,2003-07,94,2674
354,2003-08,97,2657
355,2003-09,76,1273
356,2003-10,105,1812
357,2003-11,99,2490
358,2003-12,77,1128
359,2004-01,113,3229
360,2004-02,150,3284
361,2004-03,133,3105
362,2004-04,126,2044
363,2004-05,121,1539
364,2004-06,119,3279
365,2004-07,86,3485
366,2004-08,90,2091
367,2004-09,82,1636
368,2004-10,81,1688
369,2004-11,118,2670
370,2004-12,163,4334
371,2005-01,80,1408
372,2005-02,73,1187
373,2005-03,89,2164
374,2005-04,91,2726
375,2005-05,114,3250
376,2005-06,94,3902
377,2005-07,101,1847
378,2005-08,91,1765
379,2005-09,67,1227
380,2005-10,70,1255
381,2005-11,64,1430
382,2005-12,82,1527
383,2006-01,97,2484
384,2006-02,80,1702
385,2006-03,84,2023
386,2006-04,124,3791
387,2006-05,130,4421
388,2006-06,118,2287
389,2006-07,114,2003
390,2006-08,115,2768
391,2006-09,72,1224
392,2006-10,89,1553
393,2006-11,119,3047
394,2006-12,168,2885
395,2007-01,129,3651
396,2007-02,83,2523
397,2007-03,98,1261
398,2007-04,107,1833
399,2007-05,104,7858
400,2007-06,120,3482
401,2007-07,118,4657
402,2007-08,105,2083
403,2007-09,82,3019
404,2007-10,86,1325
405,2007-11,94,1566
406,2007-12,83,1599
407,2008-01,90,1319
408,2008-02,83,1180
409,2008-03,114,3418
410,2008-04,109,4424
411,2008-05,97,1503
412,2008-06,106,3798
413,2008-07,94,2288
414,2008-08,98,2655
415,2008-09,65,1650
416,2008-10,65,2370
417,2008-11,74,1290
418,2008-12,99,1827
419,2009-01,536,19295
420,2009-02,366,11566
421,2009-03,279,8071
422,2009-04,177,4056
423,2009-05,121,2286
424,2009-06,132,2329
425,2009-07,111,2380
426,2009-08,99,1387
427,2009-09,80,1397
428,2009-10,59,1668
429,2009-11,90,3160
430,2009-12,192,5987
431,2010-01,362,12166
432,2010-02,418,17104
433,2010-03,344,9896
434,2010-04,245,7437
435,2010-05,208,4273
436,2010-06,157,2573
437,2010-07,150,2812
438,2010-08,153,2459
439,2010-09,114,2191
440,2010-10,147,3564
441,2010-11,231,7800
442,2010-12,504,19735
443,2011-01,577,22160
444,2011-02,431,15615
445,2011-03,334,9802
446,2011-04,213,5497
447,2011-05,166,2942
448,2011-06,146,2718
449,2011-07,151,2783
450,2011-08,120,2092
451,2011-09,146,2602
452,2011-10,147,3802
453,2011-11,197,7081
454,2011-12,456,16359
455,2012-01,749,26786
456,2012-02,749,26689
457,2012-03,408,12774
458,2012-04,235,5923
459,2012-05,175,4260
460,2012-06,163,3311
461,2012-07,161,3214
462,2012-08,151,2442
463,2012-09,133,2593
464,2012-10,193,5838
465,2012-11,313,10291
466,2012-12,485,16202
467,2013-01,604,18144
468,2013-02,582,19187
469,2013-03,627,18951
470,2013-04,388,12071
471,2013-05,245,4855
472,2013-06,188,4511
473,2013-07,172,3655
474,2013-08,172,1852
475,2013-09,181,3144
476,2013-10,169,3363
477,2013-11,212,5739
478,2013-12,434,13543
479,2014-01,519,16738
480,2014-02,478,15032
481,2014-03,675,23027
482,2014-04,468,13421
483,2014-05,313,6920
484,2014-06,224,3588
485,2014-07,171,2792
486,2014-08,170,2374
487,2014-09,136,2164
488,2014-10,158,3477
489,2014-11,238,7048
490,2014-12,384,11736
491,2015-01,526,16407
492,2015-02,695,23361
493,2015-03,704,19229
494,2015-04,387,9036
495,2015-05,257,5099
496,2015-06,209,4433
497,2015-07,184,3947
498,2015-08,204,3237
499,2015-09,183,6066
500,2015-10,242,5915
501,2015-11,237,5215
502,2015-12,386,8655
503,2016-01,543,16084
504,2016-02,594,19599
505,2016-03,572,14196
506,2016-04,402,8481
507,2016-05,318,6305
508,2016-06,192,3575
509,2016-07,205,4646
510,2016-08,210,2924
511,2016-09,189,3208
512,2016-10,219,4642
513,2016-11,291,7802
514,2016-12,596,18386
515,2017-01,798,25153
516,2017-02,542,15118
517,2017-03,408,10372
518,2017-04,324,8125
519,2017-05,221,4337
520,2017-06,189,2986
521,2017-07,210,2689
522,2017-08,173,2706
523,2017-09,164,2251
524,2017-10,201,5192
525,2017-11,290,8517
526,2017-12,628,16840
527,2018-01,700,20548
528,2018-02,403,8178
529,2018-03,399,8941
530,2018-04,410,8502
531,2018-05,245,5241
532,2018-06,234,4214
533,2018-07,219,4561
534,2018-08,215,3932
535,2018-09,241,3948
536,2018-10,189,3465
537,2018-11,311,7942
538,2018-12,604,15440
539,2019-01,616,15737
540,2019-02,495,11590
541,2019-03,609,13798
542,2019-04,355,7061
543,2019-05,277,4860
544,2019-06,218,3734
545,2019-07,195,2770
546,2019-08,206,2738
547,2019-09,212,2824
548,2019-10,189,3229
549,2019-11,319,7326
550,2019-12,508,13711
551,2020-01,548,14510
552,2020-02,448,10226
553,2020-03,234,4483
554,2020-04,61,842
555,2020-05,38,1165
556,2020-06,44,465
557,2020-07,62,707
558,2020-08,56,569
559,2020-09,39,315
560,2020-10,35,283
561,2020-11,35,771
562,2020-12,41,1191
563,2021-01,64,899
564,2021-02,126,3102
565,2021-03,229,4743
566,2021-04,340,6389
567,2021-05,264,5219
568,2021-06,200,2723
569,2021-07,152,2045
570,2021-08,106,1392
571,2021-09,112,1446
572,2021-10,104,1421
573,2021-11,134,2212
574,2021-12,187,3676
575,2022-01,223,4753
576,2022-02,454,11094
577,2022-03,657,15264
578,2022-04,449,10144
579,2022-05,235,4182
580,2022-06,103,1367
581,2022-07,118,1519
582,2022-08,91,1642
583,2022-09,149,2130
584,2022-10,138,2014
585,2022-11,149,3151
586,2022-12,179,3893
587,2023-01,394,9294
588,2023-02,627,16397
589,2023-03,656,16636
590,2023-04,443,8851
591,2023-05,274,5172
592,2023-06,183,2510
593,2023-07,176,2431
594,2023-08,180,2205
595,2023-09,149,3368
596,2023-10,190,4087
597,2023-11,261,5343
598,2023-12,309,6911
