,date,price_per_dozen,disaster_deaths_adjusted,disaster_cost_adjusted,disaster_cost_unadjusted,human_outbreaks_per_million,human_illnesses_per_million,covid_hospitalization_per_million,temp_overall,infected_flock_cnt,infected_bird_cnt,infected_h5n1_people_cnt,gas_price_per_gallon,change_in_price_per_dozen
203,1996-12,1.3079999685287476,0.0,0.0,0.0,0.0,0.0,0.0,29.66881720430108,0.0,0.0,0.0,1.318,0.16899991035461426
204,1997-01,1.1480000019073486,36.0,8.695272445297297,8.012349639327795,0.0073776237670798,0.0553321782530985,0.0,20.63440860215054,0.0,0.0,54.0,1.318,-0.15999996662139893
205,1997-02,1.131999969482422,17.4375,6.845713638043153,6.163643697311739,0.0036856847007417,0.1547987574311515,0.0,30.77857142857143,0.0,0.0,0.0,1.312,-0.016000032424926536
206,1997-03,1.055999994277954,17.4375,6.845713638043153,6.163643697311739,0.0110472824678557,0.1141552521678426,0.0,39.65806451612904,0.0,0.0,0.0,1.293,-0.075999975204468
207,1997-04,1.0809999704360962,0.6875,6.122424276464296,5.441470292165754,0.0,0.0,0.0,46.26,0.0,0.0,0.0,1.288,0.02499997615814209
208,1997-05,1.0019999742507937,0.6875,6.122424276464296,5.441470292165754,0.003675389772685,0.0588062363629613,0.0,55.36451612903226,0.0,0.0,0.0,1.284,-0.07899999618530251
209,1997-06,0.9520000219345092,0.0,0.0,0.0,0.0146864452016943,2.008371381331703,0.0,69.07333333333334,0.0,0.0,0.0,1.286,-0.04999995231628451
210,1997-07,0.9789999723434448,0.0,0.0,0.0,0.0220062355925743,0.5684944194748379,0.0,73.96989247311828,0.0,0.0,0.0,1.263,0.026999950408935658
211,1997-08,1.0609999895095823,0.0,0.0,0.0,0.0,0.0,0.0,70.24193548387098,0.0,0.0,0.0,1.31,0.08200001716613747
212,1997-09,1.008999943733215,0.0,0.0,0.0,0.0073182331496442,0.2012514116152161,0.0,65.5,0.0,0.0,0.0,1.334,-0.05200004577636719
213,1997-10,1.0180000066757202,0.0,0.0,0.0,0.0,0.0,0.0,54.63763440860215,0.0,0.0,0.0,1.3,0.009000062942505105
214,1997-11,1.090000033378601,0.0,0.0,0.0,0.0073027350044104,0.0547705125330782,0.0,37.72666666666667,0.0,0.0,0.0,1.271,0.07200002670288086
215,1997-12,1.1720000505447388,14.666666666666666,5.3924652303024105,4.723940388555835,0.0036481706374813,5.289847424347888,0.0,30.849462365591403,0.0,0.0,0.0,1.236,0.0820000171661377
216,1998-01,1.1200000047683716,30.666666666666664,7.99065965482308,7.322781969082987,0.3353136335505835,5.252032021156422,0.0,30.87204301075269,0.0,0.0,0.0,1.186,-0.05200004577636719
217,1998-02,1.0729999542236328,14.666666666666666,5.3924652303024105,4.723940388555835,0.3277733425641102,4.242843823190982,0.0,36.833333333333336,0.0,0.0,0.0,1.137,-0.04700005054473877
218,1998-03,1.0429999828338623,0.0,0.0,0.0,0.4330737336365618,5.502583909735138,0.0,36.681720430107525,0.0,0.0,0.0,1.097,-0.029999971389770508
219,1998-04,1.0609999895095823,0.0,0.0,0.0,0.4035776488927448,8.951424969134573,0.0,50.94888888888888,0.0,0.0,0.0,1.106,0.018000006675719993
220,1998-05,0.959999978542328,6.0,8.220853781424884,7.558464605500612,0.501271362582765,9.397021847837774,0.0,66.15698924731183,0.0,0.0,0.0,1.146,-0.1010000109672543
221,1998-06,0.9319999814033508,39.22222222222223,8.023547852754309,7.359849491567936,0.4898936619077245,13.905722314299265,0.0,70.02555555555556,0.0,0.0,0.0,1.148,-0.027999997138977162
222,1998-07,0.9710000157356262,22.222222222222225,6.6404131179766255,5.973809611869261,0.4930215587849745,16.28421207398607,0.0,73.74516129032259,0.0,0.0,0.0,1.134,0.03900003433227539
